strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,genbank_accession,host,mutational_fitness,pango_lineage,recency,region,url,author,accession,originating_lab,submitting_lab,logistic_growth
USA/GU-CDC-2-3906197/2021,1/31/2021,8,21E (Theta),USA,,Guam,P.3 (Theta),202105,MZ779623,Homo sapiens,0.71,P.3,Older,North America,,Sheth et al D,,,,
PHL/COVID-4402/2020,7/7/2020,1,20B,Philippines,,Manila,,202028,MT919778,Homo sapiens,0.4,B.1.1.28,Older,Asia,,Velasco et al F,,,,
BRA/3792/2021,4/20/2021,7,20B,Brazil,,Brazil,,202116,MZ397165,Homo sapiens,0.65,P.6,Older,South America,,Pylro et al A,,,,
BRA/4230/2021,5/3/2021,7,20B,Brazil,,Brazil,,202118,MZ397168,Homo sapiens,0.63,P.6,Older,South America,,Pylro et al B,,,,
BRA/4250/2021,5/5/2021,7,20B,Brazil,,Brazil,,202118,MZ397169,Homo sapiens,0.65,P.6,Older,South America,,Pylro et al C,,,,
BRA/cv/2021,5/7/2021,7,20B,Brazil,,Brazil,,202118,OK396828,Homo sapiens,0.65,P.6,One month ago,South America,,Pylro et al D,,,,
BRA/MASP2C844R2/2020,11/21/2020,1,20B,Brazil,,Brazil,,202047,MW592707,Homo sapiens,0.41,B.1.1.28,Older,South America,,Sacchi et al B,,,,
URY/380/2021,3/11/2021,2,20B,Uruguay,,Uruguay,,202110,MW988205,Homo sapiens,0.52,P.2,Older,South America,,Panzera et al K,,,,
USA/PR-CDC-STM-000004363/2021,1/20/2021,2,20B,USA,,Puerto Rico,,202103,MW586517,Homo sapiens,0.53,P.2,Older,North America,,Cook et al N,,,,
BRA/1447/2021,2/26/2021,2,20B,Brazil,,Brazil,,202108,MZ169914,Homo sapiens,0.52,P.2,Older,South America,,Pylro et al E,,,,
BRA/1431/2021,2/26/2021,2,20B,Brazil,,Brazil,,202108,MZ169912,Homo sapiens,0.52,P.2,Older,South America,,Pylro et al F,,,,
BRA/1460/2021,2/26/2021,2,20B,Brazil,,Brazil,,202108,MZ169915,Homo sapiens,0.52,P.2,Older,South America,,Pylro et al G,,,,
BRA/MT21774/2020,7/12/2020,1,20B,Brazil,,Mato Grosso,,202029,MW962307,Homo sapiens,0.38,B.1.1.28,Older,South America,,Ferreira et al B,,,,
PER/AFI00058/2021,3/9/2021,9,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202110,OK594562,Homo sapiens,0.79,P.1,3-7 days ago,South America,,Olortegui et al A,,AB PRISMA,The University of Arizona,
PER/un-CDC-4051693-001/2021,2/22/2021,10,"20J (Gamma, V3)",Peru,,Peru,P.1 (Gamma),202108,MW938104,Homo sapiens,0.83,P.1,Older,South America,,Li et al J,,,,
PER/AFI00065/2021,3/10/2021,10,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202110,OK594563,Homo sapiens,0.83,P.1,3-7 days ago,South America,,Olortegui et al B,,AB PRISMA,The University of Arizona,
BRA/PR-HF107/2021,3/2/2021,10,"20J (Gamma, V3)",Brazil,,Paraná,P.1 (Gamma),202109,MZ477749,Homo sapiens,0.83,P.1,Older,South America,,Oliveira et al A,,,,
PER/AFI00413/2021,5/7/2021,10,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202118,OK594570,Homo sapiens,0.83,P.1,3-7 days ago,South America,,Olortegui et al C,,AB PRISMA,The University of Arizona,
BRA/1236/2021,2/19/2021,10,"20J (Gamma, V3)",Brazil,,Brazil,P.1 (Gamma),202107,MZ169911,Homo sapiens,0.98,P.1.14,Older,South America,,Pylro et al H,,,,
NZL/21MV0160/2021,3/6/2021,10,"20J (Gamma, V3)",New Zealand,,New Zealand,P.1 (Gamma),202109,OK433674,Homo sapiens,0.83,P.1,One month ago,Oceania,,Ren et al AX,,LabPLUS,Institute of Environmental Science and Research,
USA/NH-CDC-2-4175174/2021,3/29/2021,10,"20J (Gamma, V3)",USA,,New Hampshire,P.1 (Gamma),202113,MZ004834,Homo sapiens,0.86,P.1,Older,North America,,Sheth et al E,,,,
BRA/CD1739-P4/2020,12/21/2020,9,"20J (Gamma, V3)",Brazil,,Amazonas BR,P.1 (Gamma),202052,MZ264787,Homo sapiens,0.76,P.1.15,Older,South America,,Cunha et al,,,,
BRA/3918/2021,4/27/2021,10,"20J (Gamma, V3)",Brazil,,Brazil,P.1 (Gamma),202117,MZ397166,Homo sapiens,1.11,P.1,Older,South America,,Pylro et al I,,,,
ITA/ABR-IZSGC-TE30964/2021,1/18/2021,10,"20J (Gamma, V3)",Italy,,Italy,P.1 (Gamma),202103,MW642249,Homo sapiens,0.83,P.1,Older,Europe,,Jurisic et al,,,,
TWN/CGMH-CGU-55/2021,1/28/2021,11,"20J (Gamma, V3)",Taiwan,,Taiwan,P.1 (Gamma),202104,MZ277388,Homo sapiens,0.83,P.1,Older,Asia,,Tsao et al L,,,,
TWN/CGMH-CGU-54/2021,1/28/2021,11,"20J (Gamma, V3)",Taiwan,,Taiwan,P.1 (Gamma),202104,MZ277387,Homo sapiens,0.83,P.1,Older,Asia,,Tsao et al M,,,,
PER/AFI00196/2021,4/13/2021,10,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202115,OK594569,Homo sapiens,0.82,P.1,3-7 days ago,South America,,Olortegui et al D,,AB PRISMA,The University of Arizona,
VEN/DeA1365/2021,4/17/2021,11,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202115,MZ611967,Homo sapiens,0.83,P.1,Older,South America,,Pujol et al B,,,,
VEN/Bol5332/2021,2/10/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202106,MZ611959,Homo sapiens,0.83,P.1,Older,South America,,Pujol et al C,,,,
VEN/Bol4715/2021,1/1/2021,11,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202053,MZ611956,Homo sapiens,0.91,P.1,Older,South America,,Pujol et al D,,,,
VEN/Bol4717/2021,1/21/2021,11,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202103,MZ611958,Homo sapiens,0.91,P.1,Older,South America,,Pujol et al E,,,,
VEN/Bol4720/2021,1/21/2021,11,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202103,MZ611957,Homo sapiens,0.91,P.1,Older,South America,,Pujol et al F,,,,
VEN/Mir17/2021,3/19/2021,11,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202111,MZ611961,Homo sapiens,0.82,P.1,Older,South America,,Pujol et al G,,,,
VEN/Dtt24/2021,4/18/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202116,MZ611969,Homo sapiens,0.86,P.1,Older,South America,,Pujol et al H,,,,
VEN/Yar9463/2021,5/13/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202119,MZ611972,Homo sapiens,0.81,P.1,Older,South America,,Pujol et al I,,,,
USA/ND-CDC-2-4653879/2021,6/30/2021,10,"20J (Gamma, V3)",USA,,North Dakota,P.1 (Gamma),202126,MZ709178,Homo sapiens,0.82,P.1,Older,North America,,Sheth et al F,,,,
VEN/Mir761/2021,4/8/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202114,MZ611966,Homo sapiens,0.83,P.1,Older,South America,,Pujol et al J,,,,
VEN/Dtt54/2021,3/13/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202110,MZ611964,Homo sapiens,0.82,P.1,Older,South America,,Pujol et al K,,,,
VEN/Ama1935/2021,4/19/2021,11,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202116,MZ611968,Homo sapiens,0.85,P.1,Older,South America,,Pujol et al L,,,,
VEN/Car8286/2021,5/5/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202118,MZ611962,Homo sapiens,0.82,P.1,Older,South America,,Pujol et al M,,,,
VEN/Ara6800/2021,5/10/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202119,MZ611971,Homo sapiens,0.8,P.1,Older,South America,,Pujol et al N,,,,
VEN/Mir6242/2021,5/24/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202121,MZ611965,Homo sapiens,0.83,P.1,Older,South America,,Pujol et al O,,,,
VEN/Dtt17/2021,5/24/2021,10,"20J (Gamma, V3)",Venezuela,,Venezuela,P.1 (Gamma),202121,MZ611960,Homo sapiens,0.82,P.1,Older,South America,,Pujol et al P,,,,
USA/2106110275/2021,6/11/2021,9,"20J (Gamma, V3)",USA,,New Hampshire,P.1 (Gamma),202123,MZ799172,Homo sapiens,0.84,P.1.14,Older,North America,,Benton et al A,,,,
BRA/PR-HF104/2021,3/7/2021,10,"20J (Gamma, V3)",Brazil,,Paraná,P.1 (Gamma),202110,MZ477746,Homo sapiens,0.82,P.1,Older,South America,,Oliveira et al B,,,,
BRA/1061/2021,2/7/2021,10,"20J (Gamma, V3)",Brazil,,Brazil,P.1 (Gamma),202106,MZ169910,Homo sapiens,0.78,P.1,Older,South America,,Pylro et al J,,,,
BRA/3925/2021,4/27/2021,10,"20J (Gamma, V3)",Brazil,,Brazil,P.1 (Gamma),202117,MZ397167,Homo sapiens,0.83,P.1,Older,South America,,Pylro et al K,,,,
USA/IL-CDC-ASC210001286/2021,3/4/2021,10,"20J (Gamma, V3)",USA,,Illinois,P.1 (Gamma),202109,MZ255909,Homo sapiens,0.83,P.1,Older,North America,,Howard et al U,,,,
USA/OH-CDC-QDX26532128/2021,6/30/2021,9,"20J (Gamma, V3)",USA,,Ohio,P.1 (Gamma),202126,MZ702193,Homo sapiens,0.79,P.1,Older,North America,,Howard et al V,,,,
USA/MO-CDC-QDX26400603/2021,6/29/2021,10,"20J (Gamma, V3)",USA,,Missouri,P.1 (Gamma),202126,MZ597811,Homo sapiens,0.82,P.1,Older,North America,,Howard et al W,,Quest Diagnostics Incorporated,CDC-OAMD,
BRA/PR-HF116/2021,3/6/2021,10,"20J (Gamma, V3)",Brazil,,Paraná,P.1 (Gamma),202109,MZ477758,Homo sapiens,0.82,P.1,Older,South America,,Oliveira et al C,,,,
PER/AFI00513/2021,5/19/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202120,OK252993,Homo sapiens,0.89,P.1,Older,South America,,Olortegui et al E,,,,
Mexico/CHH-SEARCH-105368/2021,6/28/2021,10,"20J (Gamma, V3)",Mexico,,Chihuahua,P.1 (Gamma),202126,OK550274,Homo sapiens,0.85,P.1,One week ago,North America,,Andersen et al H,,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",SEARCH Alliance San Diego,
BRA/PR-HF112/2021,3/5/2021,10,"20J (Gamma, V3)",Brazil,,Paraná,P.1 (Gamma),202109,MZ477754,Homo sapiens,0.83,P.1,Older,South America,,Oliveira et al D,,,,
USA/NV-CDC-LC0080072/2021,6/18/2021,10,"20J (Gamma, V3)",USA,,Nevada,P.1 (Gamma),202124,MZ531706,Homo sapiens,0.83,P.1,Older,North America,,Howard et al X,,Laboratory Corporation of America,CDC-OAMD,
Mexico/SO-SEARCH-105345/2021,6/28/2021,10,"20J (Gamma, V3)",Mexico,,Sonora,P.1 (Gamma),202126,OK550255,Homo sapiens,0.82,P.1.17,One week ago,North America,,Andersen et al I,,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",SEARCH Alliance San Diego,
PER/AFI00052/2021,3/5/2021,10,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202109,OK594561,Homo sapiens,0.83,P.1,3-7 days ago,South America,,Olortegui et al F,,AB PRISMA,The University of Arizona,
Mexico/BCN-SEARCH-105362/2021,6/29/2021,10,"20J (Gamma, V3)",Mexico,,Baja California,P.1 (Gamma),202126,OK550268,Homo sapiens,0.82,P.1,One week ago,North America,,Andersen et al J,,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",SEARCH Alliance San Diego,
BRA/3048/2021,3/30/2021,11,"20J (Gamma, V3)",Brazil,,Brazil,P.1 (Gamma),202113,MZ397164,Homo sapiens,0.84,P.1,Older,South America,,Pylro et al L,,,,
URY/374/2021,3/11/2021,10,"20J (Gamma, V3)",Uruguay,,Uruguay,P.1 (Gamma),202110,MW988204,Homo sapiens,0.83,P.1,Older,South America,,Panzera et al L,,,,
PER/AFI00844/2021,6/18/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202124,OK594573,Homo sapiens,0.87,P.1.12,3-7 days ago,South America,,Olortegui et al G,,AB PRISMA,The University of Arizona,
PER/AFI00852/2021,6/18/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202124,OK594575,Homo sapiens,0.87,P.1.12,3-7 days ago,South America,,Olortegui et al H,,AB PRISMA,The University of Arizona,
PER/AFI00996/2021,6/25/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202125,OK252994,Homo sapiens,0.87,P.1.12,Older,South America,,Olortegui et al I,,,,
PER/AFI01608/2021,7/20/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202129,OK594581,Homo sapiens,0.87,P.1.12,3-7 days ago,South America,,Olortegui et al J,,AB PRISMA,The University of Arizona,
PER/AFI01342/2021,7/12/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202128,OK594580,Homo sapiens,0.86,P.1.12,3-7 days ago,South America,,Olortegui et al K,,AB PRISMA,The University of Arizona,
PER/AFI00902/2021,6/21/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202125,OK594576,Homo sapiens,0.87,P.1.12,3-7 days ago,South America,,Olortegui et al L,,AB PRISMA,The University of Arizona,
PER/AFI00987/2021,6/23/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202125,OK594578,Homo sapiens,0.86,P.1.12,3-7 days ago,South America,,Olortegui et al M,,AB PRISMA,The University of Arizona,
PER/AFI01215/2021,7/7/2021,12,"20J (Gamma, V3)",Peru,,Loreto,P.1 (Gamma),202127,OK594579,Homo sapiens,0.87,P.1.12,3-7 days ago,South America,,Olortegui et al N,,AB PRISMA,The University of Arizona,
USA/GA-CDC-2742/2020,2/29/2020,1,20B,USA,,Georgia,,202009,MT276327,Homo sapiens,0.34,B.1.1.61,Older,North America,,Tao et al C,,,,
GMB/GC19-015/2020,3/17/2020,1,20B,Gambia,,Gambia,,202012,MZ040128,Homo sapiens,0.37,B.1.1.8,Older,Africa,,Kanteh et al C,,,,
USA/NJ-CDC-2-3714166/2020,7/2/2020,1,20B,USA,,New Jersey,,202027,MW578257,Homo sapiens,0.44,B.1.1.434,Older,North America,,Queen et al Q,,,,
USA/MD-MDH-0455/2020,11/11/2020,1,20B,USA,,Maryland,,202046,MW345272,Homo sapiens,0.39,B.1.1.434,Older,North America,,Keller et al G,,,,
USA/SD-UW-859/2020,7/9/2020,1,20B,USA,,South Dakota,,202028,MT846549,Homo sapiens,0.36,B.1.1.228,Older,North America,,Moreno et al B,,,,
OU079548,7/7/2020,1,20B,Germany,,Schleswig-Holstein,,202028,OU079548,Homo sapiens,0.35,B.1.1.192,Older,Europe,,? F,,"Universitätsklinikum Schleswig-Holstein (standortübergreifend inkl. Kiel) - Institut für Klinische Chemie und Laboratoriumsdiagnostik, Ratzeburger Allee 160; 23538 Lübeck und Kiel (standortübergreifend)",Robert Koch Institute,
Mexico/BCN-SEARCH-103035/2020,9/28/2020,1,20B,Mexico,,Baja California,,202040,OK549357,Homo sapiens,0.37,B.1.1.432,One week ago,North America,,Andersen et al K,,"SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)",SEARCH Alliance San Diego,
LR963392,5/1/2020,1,20B,Zimbabwe,,Zimbabwe,,202018,LR963392,Homo sapiens,0.38,B.1.1,Older,Africa,,Alikhan et al C,,National Microbiology Reference Laboratory,Quadram Institute Bioscience,
LR963444,5/1/2020,1,20B,Zimbabwe,,Zimbabwe,,202018,LR963444,Homo sapiens,0.38,B.1.1,Older,Africa,,Alikhan et al D,,National Microbiology Reference Laboratory,Quadram Institute Bioscience,
SRB/KI00020-13-03/2020,3/12/2020,1,20B,Serbia,,Serbia,,202011,MW315975,Homo sapiens,0.35,B.1.1,Older,Europe,,Vidanovic et al E,,,,
HongKong/HKPU-00099/2020,3/30/2020,1,20B,Hong Kong,,Hong Kong,,202014,MZ266448,Homo sapiens,0.34,B.1.1,Older,Asia,,Siu et al P,,,,
PER/covper090/2020,3/20/2020,1,20B,Peru,,Peru,,202012,MW030226,Homo sapiens,0.35,B.1.1,Older,South America,,Juscamayta et al N,,,,
SRB/VS10176-06-05/2020,5/5/2020,1,20B,Serbia,,South Banat District,,202019,MW327523,Homo sapiens,0.36,B.1.1.70,Older,Europe,,Vidanovic et al F,,,,
SRB/LE00063-24-07/2020,7/23/2020,1,20B,Serbia,,Leskovac,,202030,MW485796,Homo sapiens,0.35,B.1.1.70,Older,Europe,,Vidanovic et al G,,,,
PER/un-CDC-4033331-001/2020,10/5/2020,2,20B,Peru,,Peru,,202041,MZ323734,Homo sapiens,0.45,B.1,Older,South America,,Kelleher et al I,,,,
England/MILK-95DAD0/2020,6/23/2020,1,20B,United Kingdom,,England,,202026,OA978171,Homo sapiens,0.36,B.1.1,Older,Europe,,The Lighthouse Lab in Milton et al A,,Lighthouse Lab in Milton Keynes,Wellcome Sanger Institute,
PER/un-CDC-3958248-001/2020,8/19/2020,1,20B,Peru,,Peru,,202034,MZ323728,Homo sapiens,0.35,B.1.1,Older,South America,,Kelleher et al J,,,,
USA/AR-UAMS002/2020,4/1/2020,1,20B,USA,,Arkansas,,202014,MT766908,Homo sapiens,0.35,B.1.1,Older,North America,,Jenjaroenpun et al,,,,
TUN/TUN-2020-6895/2020,4/1/2020,1,20B,Tunisia,,Tunisia,,202014,MW428253,Homo sapiens,0.34,B.1.1,Older,Africa,,Boutiba-Ben Boubaker et al D,,,,
RUS/4061/2020,11/10/2020,1,20B,Russia,,Primorsky,,202046,MZ544366,Homo sapiens,0.34,B.1.1,Older,Europe,,Shchelkanov et al A,,,,
RUS/4460/2020,12/1/2020,2,20B,Russia,,Primorsky,,202049,MZ544367,Homo sapiens,0.34,B.1.1,Older,Europe,,Shchelkanov et al B,,,,
Switzerland/ZH-ETHZ-150029/2020,6/4/2020,1,20B,Switzerland,,Zürich,,202023,OU008665,Homo sapiens,0.34,B.1.1.464,Older,Europe,,? J,,"Computational evolution group,Mattenstrasse 26, Basel",ETH ZURICH D-BSSE,
OU632766,12/7/2020,1,20B,Poland,,Swietokrzyskie,,202050,OU632766,Homo sapiens,0.44,B.1.1.153,Older,Europe,,? K,,"Regionalne Centrum Naukowo Technologiczne, Chęciny",COVID-HUB-PL,
ROU/BUCHAREST-IMT-1/2020,7/20/2020,1,20B,Romania,,Romania,,202030,MW255830,Homo sapiens,0.34,B.1.1,Older,Europe,,Salceanu et al,,,,
PER/un-CDC-4051689-001/2021,2/16/2021,1,20B,Peru,,Peru,,202107,MW938102,Homo sapiens,0.54,B.1.1.348,Older,South America,,Li et al K,,,,
TWN/CGMH-CGU-31/2020,7/31/2020,1,20B,Taiwan,,Taiwan,,202031,MW356784,Homo sapiens,0.36,B.1.1,Older,Asia,,Tsao et al N,,,,
USA/GU-CDC-2-4524556/2021,5/24/2021,5,20B,USA,,Guam,,202121,MZ493507,Homo sapiens,0.88,B.1.1.523,Older,North America,,Sheth et al G,,,,
OU429148,6/29/2021,5,20B,Germany,,Thuringia,,202126,OU429148,Homo sapiens,0.89,B.1.1.523,Older,Europe,,? F,,"SYNLAB Jena Oncoscreen, Ernst-Ruska-Ring 15-17; 07745 Jena",Robert Koch Institute,
OU429164,6/29/2021,6,20B,Germany,,Thuringia,,202126,OU429164,Homo sapiens,0.82,B.1.1.523,Older,Europe,,? F,,"SYNLAB Jena Oncoscreen, Ernst-Ruska-Ring 15-17; 07745 Jena",Robert Koch Institute,
BGD/DNAS_CPH_isl_430_BGD/2020,4/29/2020,1,20B,Bangladesh,,Bangladesh,,202018,MT581420,Homo sapiens,0.37,B.1.1.25,Older,Asia,,Khan et al A,,,,
OD916351,10/18/2020,1,20B,Poland,,Wielkopolskie,,202043,OD916351,Homo sapiens,0.42,B.1.1,Older,Europe,,? K,,Szpital Pomnik Chrztu Polski,COVID-HUB-PL,
USA/AR-QDX-2132/2020,3/17/2020,1,20B,USA,,Arkansas,,202012,MW190821,Homo sapiens,0.34,B.1.1,Older,North America,,Rosenthal et al R,,Quest Diagnostics,Quest Diagnostics,
JOR/SEARCH-0046-JOR/2020,3/17/2020,1,20B,Jordan,,Amman,,202012,MT811556,Homo sapiens,0.35,B.1.1,Older,Asia,,Abu-Dayyeh et al C,,Biolab Diagnostic Laboratories,The Scripps Research Institute,
JOR/SEARCH-0055-JOR/2020,4/2/2020,1,20B,Jordan,,Amman,,202014,MT811563,Homo sapiens,0.35,B.1.1,Older,Asia,,Abu-Dayyeh et al D,,Biolab Diagnostic Laboratories,The Scripps Research Institute,
ESP/Valencia25/2020,2/27/2020,1,20B,Spain,,Spain,,202009,MT292580,Homo sapiens,0.35,B.1.1,Older,Europe,,Bracho et al,,,,
HG994171,5/19/2020,1,20B,Poland,,Poland,,202021,HG994171,Homo sapiens,0.34,B.1.1.219,Older,Europe,,? K,,WSSE,COVID-HUB-PL,
HG994202,8/1/2020,1,20B,Poland,,Poland,,202031,HG994202,Homo sapiens,0.37,B.1.1,Older,Europe,,? K,,WSSE,COVID-HUB-PL,
AUS/NT41/2020,5/1/2020,1,20B,Australia,,Northern Territory,,202018,MT612187,Homo sapiens,0.35,B.1.1.10,Older,Oceania,,Caly et al N,,Royal Darwin Hospital Pathology,The Peter Doherty Institute for Infection and Immunity,
TGO/nmimr-TG-SARS-CoV-2-TGS-015-21/2020,12/22/2020,2,20B,Togo,,Togo,,202052,MZ149969,Homo sapiens,0.45,L.3,Older,Africa,,Halatoko et al A,,,,
TUN/TUN_ADAGE_9-12622/2020,9/20/2020,1,20B,Tunisia,,Tunisia,,202039,MW452530,Homo sapiens,0.36,B.1.1.198,Older,Africa,,Souissi et al F,,,,
GHA/nmimr-SARS-CoV-2-NTRA-9791/2020,11/13/2020,1,20B,Ghana,,Ghana,,202046,MW598434,Homo sapiens,0.4,B.1.1.359,Older,Africa,,Adu et al A,,,,
Japan/P4-6/2020,3/20/2020,1,20B,Japan,,Saitama,,202012,LC547528,Homo sapiens,0.35,B.1.1,Older,Asia,,Sekizuka et al C,,,,
SAU/KAIMRC-S440/2021,2/11/2021,5,20B,Saudi Arabia,,Riyadh,,202106,MZ895675,Homo sapiens,0.69,B.1.1.524,Older,Asia,,Alghoribi et al E,,,,
SAU/KAIMRC-S469/2021,2/10/2021,4,20B,Saudi Arabia,,Riyadh,,202106,MZ895695,Homo sapiens,0.49,B.1.1.148,Older,Asia,,Alghoribi et al F,,,,
SAU/KAIMRC-S151/2020,11/25/2020,4,20B,Saudi Arabia,,Jeddah,,202048,MZ895660,Homo sapiens,0.71,B.1.1,Older,Asia,,Alghoribi et al G,,,,
SAU/KAIMRC-S161/2021,1/3/2021,4,20B,Saudi Arabia,,Riyadh,,202101,MZ895662,Homo sapiens,0.71,B.1.1,Older,Asia,,Alghoribi et al H,,,,
SAU/KAIMRC-S152/2020,11/26/2020,5,20B,Saudi Arabia,,Jeddah,,202048,MZ895661,Homo sapiens,0.71,B.1.1,Older,Asia,,Alghoribi et al I,,,,
SAU/KAIMRC-S539/2021,1/31/2021,4,20B,Saudi Arabia,,Riyadh,,202105,MZ895741,Homo sapiens,0.72,B.1.1,Older,Asia,,Alghoribi et al J,,,,
SAU/KAIMRC-S89/2020,12/16/2020,5,20B,Saudi Arabia,,Riyadh,,202051,MZ895789,Homo sapiens,0.7,B.1.1,Older,Asia,,Alghoribi et al K,,,,
ARM/UW-ARM42/2020,9/1/2020,1,20B,Armenia,,Armenia,,202036,MZ230715,Homo sapiens,0.35,B.1.1,Older,Asia,,Roychoudhury et al B,,,,
UZB/hCoV-19-Uzb-CGB-14/2020,10/14/2020,1,20B,Uzbekistan,,Tashkent,,202042,MW853567,Homo sapiens,0.34,B.1.1,Older,Asia,,Ayubov et al C,,,,
VEN/11MZ/2020,5/23/2020,1,20B,Venezuela,,Venezuela,,202021,MT907518,Homo sapiens,0.35,B.1.1,Older,South America,,Loureiro et al E,,,,
GHA/WACCBIP_nCoV_GS34/2020,8/3/2020,1,20B,Ghana,,Ghana,,202032,MW523414,Homo sapiens,0.34,B.1.1.359,Older,Africa,,Ngoi et al E,,,,
Estonia/Cov1067/2020,10/5/2020,1,20B,Estonia,,Estonia,,202041,OU278013,Homo sapiens,0.34,B.1,Older,Europe,,Avi et al A,,,"Institute of Biomedicine and Translational Medicine, University of Tartu",
USA/WA-S5275/2020,8/3/2020,2,20B,USA,,Washington,,202032,MW773879,Homo sapiens,0.39,B.1.1,Older,North America,,Nickerson et al D,,WA State PHL,Seattle Flu Study submission group,
ARM/UW-ARM19/2020,8/3/2020,2,20B,Armenia,,Armenia,,202032,MZ230692,Homo sapiens,0.35,B.1.621.1,Older,Asia,,Roychoudhury et al C,,,,
ARM/UW-ARM48/2020,9/7/2020,2,20B,Armenia,,Armenia,,202037,MZ230720,Homo sapiens,0.33,B.1.1,Older,Asia,,Roychoudhury et al D,,,,
ARM/UW-ARM25/2020,8/18/2020,2,20B,Armenia,,Armenia,,202034,MZ230698,Homo sapiens,0.34,B.1.1,Older,Asia,,Roychoudhury et al E,,,,
ARM/UW-ARM7/2020,7/30/2020,2,20B,Armenia,,Armenia,,202031,MZ230725,Homo sapiens,0.33,B.1.1,Older,Asia,,Roychoudhury et al F,,,,
PHL/COVID-3304/2020,6/25/2020,1,20B,Philippines,,Manila,,202026,MT919769,Homo sapiens,0.45,B.1.1.63,Older,Asia,,Velasco et al G,,,,
PHL/COVID-3477/2020,6/29/2020,1,20B,Philippines,,Manila,,202027,MT919771,Homo sapiens,0.37,B.1.1.63,Older,Asia,,Velasco et al H,,,,
HongKong/Case4424/2020,8/16/2020,1,20B,Hong Kong,,Hong Kong,,202034,MW181752,Homo sapiens,0.38,B.1.1.63,Older,Asia,,Siu et al Q,,,,
HongKong/Case4954/2020,9/13/2020,1,20B,Hong Kong,,Hong Kong,,202038,MW181757,Homo sapiens,0.37,B.1.1.63,Older,Asia,,Siu et al R,,,,
HongKong/Case4278/2020,8/13/2020,1,20B,Hong Kong,,Hong Kong,,202033,MW181745,Homo sapiens,0.38,B.1.1.63,Older,Asia,,Siu et al S,,,,
HongKong/HKPU-00049/2020,7/14/2020,1,20B,Hong Kong,,Hong Kong,,202029,MZ266398,Homo sapiens,0.38,B.1.1.63,Older,Asia,,Siu et al T,,,,
IND/CMP_19_FMR/2020,8/24/2020,2,20B,India,,Maharashtra,,202035,MW645473,Homo sapiens,0.36,B.1.1.306,Older,Asia,,Nilgiriwala et al C,,,,
