Author	n (strains)	publication title	journal	publication URL	strains
Queen et al	1	Isolation and characterization of SARS-CoV-2 from the first US COVID-19 patient	unknown	https://dx.doi.org/10.1101/2020.03.02.972935	hCoV-19/USA/WA1/2020
Maria Victoria Elizondo et al	5	unknown	unknown	unknown	hCoV-19/Uruguay/UY-NYUMC852/2020,hCoV-19/Uruguay/UY-NYULH1932/2021,hCoV-19/Uruguay/UY-NYULH2027/2021,hCoV-19/Uruguay/UY-NYUMC872/2020,hCoV-19/Uruguay/UY-NYUMC938/2020
Matthew Cotten et al	6	unknown	unknown	unknown	hCoV-19/Uganda/UG027/2020,hCoV-19/Uganda/UG269/2020,hCoV-19/Uganda/UG526/2021,hCoV-19/Uganda/UG679/2021,hCoV-19/Uganda/UG622/2021,hCoV-19/Uganda/UG670/2021
Kwabena O. Duedu et al	6	unknown	unknown	unknown	hCoV-19/Ghana/UHAS-G541/2020,hCoV-19/Ghana/UHAS-AL058/2021,hCoV-19/Ghana/UHAS-TRA-1071/2021,hCoV-19/Ghana/UHAS-WA652/2021,hCoV-19/Ghana/UHAS-AL979/2021,hCoV-19/Ghana/UHAS-TRA-1074/2021
Ben Huang et al	2	unknown	unknown	unknown	hCoV-19/Australia/QLD02/2020,hCoV-19/Australia/QLD01/2020
Abdoul-Salam Ouedraogo et al	2	unknown	unknown	unknown	hCoV-19/BurkinaFaso/3573/2020,hCoV-19/BurkinaFaso/4202/2020
Antoine Dara et al	2	unknown	unknown	unknown	hCoV-19/Mali/CICM9777/2021,hCoV-19/Mali/M00960/2020
Halimatou Diop Ndiaye et al	4	unknown	unknown	unknown	hCoV-19/Senegal/SC20-9639/2021,hCoV-19/Senegal/SC20-354/2021,hCoV-19/Senegal/SC20-1879/2021,hCoV-19/Senegal/SC20-1742/2021
Rachel Boyle et al	47	unknown	unknown	unknown	hCoV-19/NewZealand/20VR3131/2020,hCoV-19/NewZealand/21CV0182/2021,hCoV-19/NewZealand/21MV0231/2021,hCoV-19/NewZealand/21MV0298/2021,hCoV-19/NewZealand/21MV0559/2021,hCoV-19/NewZealand/21MV0374/2021,hCoV-19/NewZealand/21MV0526/2021,hCoV-19/NewZealand/21MV0534/2021,hCoV-19/NewZealand/21MV0354/2021,hCoV-19/NewZealand/21MV0618/2021,hCoV-19/NewZealand/21MV0485/2021,hCoV-19/NewZealand/21MV0653/2021,hCoV-19/NewZealand/21CH0097/2021,hCoV-19/NewZealand/21MV0487/2021,hCoV-19/NewZealand/21MV0560/2021,hCoV-19/NewZealand/21MV0581/2021,hCoV-19/NewZealand/21MV0571/2021,hCoV-19/NewZealand/21CH0059/2021,hCoV-19/NewZealand/21CH0099/2021,hCoV-19/NewZealand/21MV0663/2021,hCoV-19/NewZealand/21MV0660/2021,hCoV-19/NewZealand/21MV0658/2021,hCoV-19/NewZealand/21MV0661/2021,hCoV-19/NewZealand/21MV0662/2021,hCoV-19/NewZealand/21MV0652/2021,hCoV-19/NewZealand/21CH0081/2021,hCoV-19/NewZealand/21CH0080/2021,hCoV-19/NewZealand/21MV1560/2021,hCoV-19/NewZealand/21MV0636/2021,hCoV-19/NewZealand/21CH0093/2021,hCoV-19/NewZealand/21CH0098/2021,hCoV-19/NewZealand/21MV0519/2021,hCoV-19/NewZealand/21MV0989/2021,hCoV-19/NewZealand/21MV1375/2021,hCoV-19/NewZealand/21CV0418/2021,hCoV-19/NewZealand/21CV0260/2021,hCoV-19/NewZealand/21CV0239/2021,hCoV-19/NewZealand/21MV1379/2021,hCoV-19/NewZealand/21CV0241/2021,hCoV-19/NewZealand/21MV0860/2021,hCoV-19/NewZealand/21CV0263/2021,hCoV-19/NewZealand/21MV0976/2021,hCoV-19/NewZealand/21CV0320/2021,hCoV-19/NewZealand/21MV1136/2021,hCoV-19/NewZealand/21CV0420/2021,hCoV-19/NewZealand/21MV1582/2021,hCoV-19/NewZealand/21MV1330/2021
Chantal Akoua-Koffi et al	5	unknown	unknown	unknown	hCoV-19/Coted-Ivoire/BKE0732-bc16/2020,hCoV-19/Coted-Ivoire/BKE0201/2020,hCoV-19/Coted-Ivoire/C04-0912/2020,hCoV-19/Coted-Ivoire/BKE2221-bc45/2021,hCoV-19/Coted-Ivoire/COV-BKE1145/bc61/2020
Elham Rizgalla et al	7	unknown	unknown	unknown	hCoV-19/Sudan/N6778/2020,hCoV-19/Sudan/N6392/2021,hCoV-19/Sudan/N6753/2020,hCoV-19/Sudan/N6758/2020,hCoV-19/Sudan/N6774/2020,hCoV-19/Sudan/N6733/2021,hCoV-19/Sudan/N6420/2021
PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	37	unknown	unknown	unknown	hCoV-19/Australia/WA203/2020,hCoV-19/Australia/WA122/2020,hCoV-19/Australia/WA190/2020,hCoV-19/Australia/WA177/2020,hCoV-19/Australia/WA538/2020,hCoV-19/Australia/WA652/2021,hCoV-19/Australia/WA568/2021,hCoV-19/Australia/WA632/2021,hCoV-19/Australia/WA624/2021,hCoV-19/Australia/WA543/2020,hCoV-19/Australia/WA65/2020,hCoV-19/Australia/WA563/2020,hCoV-19/Australia/WA721/2021,hCoV-19/Australia/WA789/2021,hCoV-19/Australia/WA778/2021,hCoV-19/Australia/WA793/2021,hCoV-19/Australia/WA750/2021,hCoV-19/Australia/WA751/2021,hCoV-19/Australia/WA736/2021,hCoV-19/Australia/WA732/2021,hCoV-19/Australia/WA823/2021,hCoV-19/Australia/WA818/2021,hCoV-19/Australia/WA816/2021,hCoV-19/Australia/WA822/2021,hCoV-19/Australia/WA820/2021,hCoV-19/Australia/WA800/2021,hCoV-19/Australia/WA812/2021,hCoV-19/Australia/WA747/2021,hCoV-19/Australia/WA737/2021,hCoV-19/Australia/WA-757/2021,hCoV-19/Australia/WA807/2021,hCoV-19/Australia/WA809/2021,hCoV-19/Australia/WA803/2021,hCoV-19/Australia/WA733/2021,hCoV-19/Australia/WA731/2021,hCoV-19/Australia/WA735/2021,hCoV-19/Australia/WA-801/2021
Oluniyi P.E. et al	8	unknown	unknown	unknown	hCoV-19/Nigeria/ED06-CV159/2020,hCoV-19/Nigeria/OY616-CV174/2020,hCoV-19/Nigeria/NA-CV351/2020,hCoV-19/Nigeria/FC-CV356/2020,hCoV-19/Cameroon/CV416/2020,hCoV-19/Cameroon/CV441/2020,hCoV-19/Cameroon/CV424/2020,hCoV-19/Nigeria/CV889/2021
Marie-Astrid Vernet et al	1	unknown	unknown	unknown	hCoV-19/CentralAfricanRepublic/24014/2020
Nguyen Van Vinh Chau et al	4	unknown	unknown	unknown	hCoV-19/Vietnam/HCMC-05047-02/2021,hCoV-19/Vietnam/HCMC-05046-02/2021,hCoV-19/Vietnam/HCMC-05040-01/2021,hCoV-19/Vietnam/HCMC-05009/2020
Andrés E Castillo et al	1	unknown	unknown	unknown	hCoV-19/Chile/RM-ISPCH-17/2020
Loureiro CL et al	3	unknown	unknown	unknown	hCoV-19/Venezuela/1Z/2020,hCoV-19/Venezuela/12MZ/2020,hCoV-19/Venezuela/3NE/2020
Abdaliyev Askar et al	4	unknown	unknown	unknown	hCoV-19/Kazakhstan/7341/2020,hCoV-19/Kazakhstan/7827-2/2021,hCoV-19/Kazakhstan/38716/2020,hCoV-19/Kazakhstan/1586/2021
Ashley Jones et al	7	unknown	unknown	unknown	hCoV-19/Australia/ACT0075/2020,hCoV-19/Australia/ACT0039/2020,hCoV-19/Australia/ACT0086/2020,hCoV-19/Australia/ACT0087/2020,hCoV-19/Australia/ACT0097/2021,hCoV-19/Australia/ACT0074/2020,hCoV-19/Australia/ACT0100/2021
Danilo Franco et al	3	Early transmission dynamics, spread, and genomic characterization of SARS-CoV-2 in Panama.	unknown	https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1	hCoV-19/Panama/335967/2020,hCoV-19/Panama/337660/2020,hCoV-19/Panama/335002/2020
Yamilka Diaz et al	5	unknown	unknown	unknown	hCoV-19/Panama/GMI-PA369049/2020,hCoV-19/Panama/GMI-PA380510/2020,hCoV-19/Panama/GMI-PA350872/2020,hCoV-19/Panama/GMI-PA437737/2020,hCoV-19/Panama/GMI-PA426257/2020
Gonzalez Claudia et al	4	unknown	unknown	unknown	hCoV-19/Panama/GMI-PA407/2020,hCoV-19/Panama/GMI-PACNB22634/2021,hCoV-19/Panama/GMI-PACH57859/2021,hCoV-19/Panama/GMI-PAFQ104/2021
Juan José Guadalupe et al	5	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-2093/2021,hCoV-19/Ecuador/USFQ-1305/2021,hCoV-19/Ecuador/USFQ-1567/2021,hCoV-19/Ecuador/USFQ-097/2020,hCoV-19/Ecuador/USFQ-161/2020
Alfredo Bruno et al	10	unknown	unknown	unknown	hCoV-19/Ecuador/NIC-INSPI-344167/2021,hCoV-19/Ecuador/NIC-INSPI-50072/2021,hCoV-19/Ecuador/NIC-INSPI-0421-2943/2021,hCoV-19/Ecuador/NIC-INSPI-50218/2021,hCoV-19/Ecuador/NIC-INSPI-335621/2021,hCoV-19/Ecuador/NIC-INSPI-332335/2021,hCoV-19/Ecuador/NIC-INSPI-93452/2021,hCoV-19/Ecuador/NIC-INSPI-336278/2021,hCoV-19/Ecuador/NIC-INSPI-342044/2021,hCoV-19/Ecuador/NIC-INSPI-344186/2021
Sandra Gonzalez et al	15	unknown	unknown	unknown	hCoV-19/Paraguay/204705/2021,hCoV-19/Paraguay/200039/2021,hCoV-19/Paraguay/199971/2021,hCoV-19/Paraguay/138122/2021,hCoV-19/Paraguay/199993/2021,hCoV-19/Paraguay/231882/2021,hCoV-19/Paraguay/191871/2021,hCoV-19/Paraguay/195709/2021,hCoV-19/Paraguay/201876/2021,hCoV-19/Paraguay/214076/2021,hCoV-19/Paraguay/226342/2021,hCoV-19/Paraguay/215214/2021,hCoV-19/Paraguay/221072/2021,hCoV-19/Paraguay/226136/2021,hCoV-19/Paraguay/233072/2021
Francisco Duarte et al	35	unknown	unknown	unknown	hCoV-19/CostaRica/INC-0850/2021,hCoV-19/CostaRica/INC-0800/2021,hCoV-19/CostaRica/INC-0078/2020,hCoV-19/CostaRica/INC-0179/2020,hCoV-19/CostaRica/INC-0795/2021,hCoV-19/CostaRica/INC-0789/2021,hCoV-19/CostaRica/INC-0922/2021,hCoV-19/CostaRica/INC-0796/2021,hCoV-19/CostaRica/INC-0336/2021,hCoV-19/CostaRica/INC-0770/2021,hCoV-19/CostaRica/INC-0816/2021,hCoV-19/CostaRica/INC-0096/2020,hCoV-19/CostaRica/INC-0139/2020,hCoV-19/CostaRica/INC-0147/2020,hCoV-19/CostaRica/INC-1224/2021,hCoV-19/CostaRica/INC-1285-699964/2021,hCoV-19/CostaRica/INC-1209/2021,hCoV-19/CostaRica/INC-1221/2021,hCoV-19/CostaRica/INC-1123/2021,hCoV-19/CostaRica/INC-0759/2021,hCoV-19/CostaRica/INC-0752/2021,hCoV-19/CostaRica/INC-0904/2021,hCoV-19/CostaRica/INC-1234/2021,hCoV-19/CostaRica/INC-1304-701960/2021,hCoV-19/CostaRica/INC-1339-705126/2021,hCoV-19/CostaRica/INC-1293-700482/2021,hCoV-19/CostaRica/INC-1344-705549/2021,hCoV-19/CostaRica/INC-1298-700802/2021,hCoV-19/CostaRica/INC-1302-701939/2021,hCoV-19/CostaRica/INC-1297-700648/2021,hCoV-19/CostaRica/INC-1130/2021,hCoV-19/CostaRica/INC-0959/2021,hCoV-19/CostaRica/INC-1308-701979/2021,hCoV-19/CostaRica/INC-0944/2021,hCoV-19/CostaRica/INC-1134/2021
Alexander Kneubehl et al	6	unknown	unknown	unknown	hCoV-19/Belize/CML-50/2021,hCoV-19/Belize/CML-96/2021,hCoV-19/Belize/CML-104/2021,hCoV-19/Belize/CML-106/2021,hCoV-19/Belize/CML-98/2021,hCoV-19/Belize/CML-120/2021
Ruth Vasquez et al	6	unknown	unknown	unknown	hCoV-19/ElSalvador/INC-LNSP-007/2021,hCoV-19/ElSalvador/INC-LNSP-009/2021,hCoV-19/ElSalvador/INC-LNSP-021/2021,hCoV-19/ElSalvador/INC-LNSP-031/2021,hCoV-19/ElSalvador/INC-LNSP-032/2021,hCoV-19/ElSalvador/INC-LNSP-018/2021
Mitzi Castro et al	1	unknown	unknown	unknown	hCoV-19/Honduras/403313/2021
Eduardo Arathon et al	26	unknown	unknown	unknown	hCoV-19/Guatemala/ASI4092/2021,hCoV-19/Guatemala/ASI4170/2021,hCoV-19/Guatemala/ASI4071/2021,hCoV-19/Guatemala/ASI4175/2021,hCoV-19/Guatemala/ASI4237/2021,hCoV-19/Guatemala/ASI4272/2021,hCoV-19/Guatemala/ASI4172/2021,hCoV-19/Guatemala/ASI4298/2021,hCoV-19/Guatemala/ASI4161/2021,hCoV-19/Guatemala/ASI4118/2021,hCoV-19/Guatemala/ASI4150/2021,hCoV-19/Guatemala/ASI4073/2021,hCoV-19/Guatemala/ASI4133/2021,hCoV-19/Guatemala/ASI4136/2021,hCoV-19/Guatemala/ASI4291/2021,hCoV-19/Guatemala/ASI4177/2021,hCoV-19/Guatemala/ASI4081/2021,hCoV-19/Guatemala/ASI4256/2021,hCoV-19/Guatemala/ASI4116/2021,hCoV-19/Guatemala/ASI4313/2021,hCoV-19/Guatemala/ASI4296/2021,hCoV-19/Guatemala/ASI4242/2021,hCoV-19/Guatemala/ASI4243/2021,hCoV-19/Guatemala/ASI4239/2021,hCoV-19/Guatemala/ASI4259/2021,hCoV-19/Guatemala/ASI4245/2021
Eduardo Arathoon et al	5	unknown	unknown	unknown	hCoV-19/Guatemala/ASI02028/2021,hCoV-19/Guatemala/ASI02027/2021,hCoV-19/Guatemala/ASI01052/2020,hCoV-19/Guatemala/ASI4445/2021,hCoV-19/Guatemala/ASI04102/2021
Victor M Corman et al B	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	hCoV-19/Germany/BY-ChVir-929/2020
Arindam Maitra et al	4	unknown	unknown	unknown	hCoV-19/India/MH-1931500863416/2021,hCoV-19/India/WB-1930400409485/2021,hCoV-19/India/WB-1931300129196/2020,hCoV-19/India/WB-1970200051194/2021
Sanaâ LEMRISS et al	1	unknown	unknown	unknown	hCoV-19/Morocco/RA12CC-73/2020
Rijad Konjhodzic et al A	1	Phylogenetic pattern of SARS-CoV-2 from COVID-19 patients from Bosnia and Herzegovina: lessons learned to optimize future molecular and epidemiological approaches	unknown	https://dx.doi.org/10.1101/2020.06.19.160606	hCoV-19/BosniaandHerzegovina/04-Sarajevo/2020
Hicham Oumzil et al	1	unknown	unknown	unknown	hCoV-19/Morocco/INH-103/2020
Jeong-Ah Kim et al	3	unknown	unknown	unknown	hCoV-19/SouthKorea/KDCA5171/2021,hCoV-19/SouthKorea/KDCA6235/2021,hCoV-19/SouthKorea/KDCA6187/2021
Bas B Oude Munnink et al	35	unknown	unknown	unknown	hCoV-19/Suriname/SR-76/2020,hCoV-19/Suriname/SR-101/2020,hCoV-19/Suriname/SR-112/2021,hCoV-19/Suriname/SR-145/2021,hCoV-19/Suriname/SR-543/2021,hCoV-19/Suriname/SR-516/2021,hCoV-19/Suriname/SR-457/2021,hCoV-19/Suriname/SR-460/2021,hCoV-19/Suriname/SR-205/2021,hCoV-19/Suriname/SR-506/2021,hCoV-19/Suriname/SR-421/2021,hCoV-19/Suriname/SR-426/2021,hCoV-19/Suriname/SR-299/2021,hCoV-19/Suriname/SR-454/2021,hCoV-19/Suriname/SR-420/2021,hCoV-19/Suriname/SR-540/2021,hCoV-19/Suriname/SR-546/2021,hCoV-19/Suriname/SR-352/2021,hCoV-19/Suriname/SR-419/2021,hCoV-19/Suriname/SR-544/2021,hCoV-19/Suriname/SR-428/2021,hCoV-19/Suriname/SR-424/2021,hCoV-19/Suriname/SR-445/2021,hCoV-19/Suriname/SR-500/2021,hCoV-19/Suriname/SR-430/2021,hCoV-19/Suriname/SR-674/2021,hCoV-19/Suriname/SR-653/2021,hCoV-19/Suriname/SR-664/2021,hCoV-19/Suriname/SR-662/2021,hCoV-19/Suriname/SR-678/2021,hCoV-19/Suriname/SR-596/2021,hCoV-19/Suriname/SR-673/2021,hCoV-19/Suriname/SR-641/2021,hCoV-19/Suriname/SR-649/2021,hCoV-19/Suriname/SR-611/2021
Njouom Richard et al	2	unknown	unknown	unknown	hCoV-19/Cameroon/Douala-20V-3045/2020,hCoV-19/Cameroon/Yaounde-20V-6189/2020
Spott et al	1	unknown	unknown	unknown	hCoV-19/Germany/TH-IIMK-CaSe-11/2020
Baumeister E. et al A	1	COVID-19 in Latin America: Contrasting phylodynamic inference with epidemiological surveillance.	unknown	https://dx.doi.org/10.1101/2020.05.23.20111443	hCoV-19/Argentina/C3013/2020
Tony Wawina-Bokalanga et al	17	unknown	unknown	unknown	hCoV-19/Belgium/rega-0417509/2020,hCoV-19/Belgium/rega-10061255/2020,hCoV-19/Belgium/rega-1983/2021,hCoV-19/Oman/rega-OM-76/2021,hCoV-19/Belgium/rega-13149/2021,hCoV-19/Belgium/rega-7675/2021,hCoV-19/Oman/rega-OM-68/2021,hCoV-19/Belgium/rega-12325/2021,hCoV-19/Oman/rega-OM-225/2021,hCoV-19/Belgium/rega-2384/2020,hCoV-19/Belgium/rega-0411462/2020,hCoV-19/Oman/rega-OM-116/2021,hCoV-19/Oman/rega-OM-86/2021,hCoV-19/Oman/rega-OM-221/2021,hCoV-19/Oman/rega-OM-112/2021,hCoV-19/Belgium/rega-11468/2021,hCoV-19/Oman/rega-OM-168/2021
Santos et al	2	unknown	unknown	unknown	hCoV-19/Brazil/AC-IEC162526/2020,hCoV-19/Brazil/MA-IEC-177446/2020
Grayo Solene et al	5	unknown	unknown	unknown	hCoV-19/Guinea/Conakry_IPG004/2020,hCoV-19/Guinea/Conakry_IPG13458/2020,hCoV-19/Guinea/Conakry_IPG002/2020,hCoV-19/Guinea/Conakry_IPG6502/2020,hCoV-19/Guinea/Conakry_IPG14596/2020
Jean-Jacques Muyembe Tamfum et al	1	unknown	unknown	unknown	hCoV-19/DRC/D09-0700/2020
Alen Suljič et al	12	unknown	unknown	unknown	hCoV-19/Slovenia/112673/2020,hCoV-19/Slovenia/128450/2020,hCoV-19/Slovenia/180164/2020,hCoV-19/Slovenia/301597/2021,hCoV-19/Slovenia/4110/2020,hCoV-19/Slovenia/57237/2020,hCoV-19/Slovenia/335109/2021,hCoV-19/Slovenia/300822/2021,hCoV-19/Slovenia/321006/2021,hCoV-19/Slovenia/363195/2021,hCoV-19/Slovenia/319342/2021,hCoV-19/Slovenia/321835/2021
Alexiev et al	20	unknown	unknown	unknown	hCoV-19/Bulgaria/21BG-EU_000296_Pl4/2021,hCoV-19/Bulgaria/21BG-NC_A000027/2020,hCoV-19/Bulgaria/21BG-NC_A000048/2020,hCoV-19/Bulgaria/21BG-EU_003779_Pl32/2021,hCoV-19/Bulgaria/21BG-EU_002261_Pl21/2021,hCoV-19/Bulgaria/21BG-EU_003655_Pl31/2021,hCoV-19/Bulgaria/21BG-NC_003502_R13/2021,hCoV-19/Bulgaria/21BG-EU_003683_Pl31/2021,hCoV-19/Bulgaria/21BG-NC_003450_R13/2021,hCoV-19/Bulgaria/21BG-EU_000280_Pl3/2021,hCoV-19/Bulgaria/21BG-NC_A000040/2020,hCoV-19/Bulgaria/21BG-EU_006291_Pl58/2021,hCoV-19/Bulgaria/21BG-EU_006307_Pl58/2021,hCoV-19/Bulgaria/21BG-EU_005407_Pl49/2021,hCoV-19/Bulgaria/21BG-EU_006278_Pl58/2021,hCoV-19/Bulgaria/21BG-EU_004525_Pl39/2021,hCoV-19/Bulgaria/21BG-EU_004647_Pl40/2021,hCoV-19/Bulgaria/21BG-EU_006328_Pl58/2021,hCoV-19/Bulgaria/21BG-NC_003930_R15/2021,hCoV-19/Bulgaria/21BG-EU_004285_Pl37/2021
CIDM-PH et al.	21	unknown	unknown	unknown	hCoV-19/Australia/NSW1177/2020,hCoV-19/Australia/NSW1039/2020,hCoV-19/Australia/NSW874/2020,hCoV-19/Australia/NSW822/2020,hCoV-19/Australia/NSW1149/2020,hCoV-19/Australia/NSW973/2020,hCoV-19/Australia/NSW989/2020,hCoV-19/Australia/NSW1061/2020,hCoV-19/Australia/NSW610/2020,hCoV-19/Australia/NSW1023/2020,hCoV-19/Australia/NSW1471/2020,hCoV-19/Australia/NSW302/2020,hCoV-19/Australia/NSW520/2020,hCoV-19/Australia/NSW519/2020,hCoV-19/Australia/NSW-ICPMR-472/2021,hCoV-19/Australia/NSW1748/2021,hCoV-19/Australia/NSW1753/2021,hCoV-19/Australia/NSW1767/2021,hCoV-19/Australia/NSW-ICPMR-291/2021,hCoV-19/Australia/NSW1744/2021,hCoV-19/Australia/NSW1715/2021
Keith Durkin et al	3	unknown	unknown	unknown	hCoV-19/Belgium/ULG-10434/2020,hCoV-19/Belgium/ULG-19258/2021,hCoV-19/Belgium/ULG-21221/2021
Kathrine Stene-Johansen et al	14	unknown	unknown	unknown	hCoV-19/Norway/6195/2020,hCoV-19/Norway/5822/2021,hCoV-19/Norway/7049/2020,hCoV-19/Norway/10133/2021,hCoV-19/Norway/15144/2021,hCoV-19/Norway/14167/2021,hCoV-19/Norway/15089/2021,hCoV-19/Norway/17037/2021,hCoV-19/Norway/18257/2021,hCoV-19/Norway/17719/2021,hCoV-19/Norway/23349/2021,hCoV-19/Norway/21691/2021,hCoV-19/Norway/15442/2021,hCoV-19/Norway/22993/2021
Senjuti Saha et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/CHRF-0011/2020
Chan Yean Yean et al	2	unknown	unknown	unknown	hCoV-19/Malaysia/USM_Monash_JKNK_NCOV27752/2020,hCoV-19/Malaysia/USM_Monash_JKNK_NCOV27755/2020
C. Paul Morris et al	4	unknown	unknown	unknown	hCoV-19/USA/MD-HP07377-PIDOTIZDHG/2020,hCoV-19/USA/MD-HP06759-PIDWELJKBT/2020,hCoV-19/USA/MD-HP08815-PIDOROFQWY/2020,hCoV-19/USA/MD-HP08730-PIDJURUVBY/2021
Paola Resende et al	24	unknown	unknown	unknown	hCoV-19/Bolivia/26947/2020,hCoV-19/Bahamas/33826/2020,hCoV-19/Bolivia/26954/2020,hCoV-19/Paraguay/33616/2020,hCoV-19/Paraguay/33620/2020,hCoV-19/Paraguay/33615/2020,hCoV-19/Paraguay/33622/2020,hCoV-19/Paraguay/33625/2020,hCoV-19/Paraguay/33610/2020,hCoV-19/Brazil/AL-FIOCRUZ-11155/2021,hCoV-19/Brazil/AP-FIOCRUZ-40073/2021,hCoV-19/Bolivia/21742/2021,hCoV-19/Brazil/RS-FIOCRUZ-42128/2021,hCoV-19/Bahamas/47995/2021,hCoV-19/Bolivia/26955/2020,hCoV-19/Haiti/34029/2020,hCoV-19/Haiti/18249/2021,hCoV-19/DominicanRepublic/49654/2021,hCoV-19/Brazil/PB-FIOCRUZ-51422/2021,hCoV-19/Brazil/RJ-FIOCRUZ-44028/2021,hCoV-19/Brazil/ES-FIOCRUZ-49119/2021,hCoV-19/Bahamas/48071/2021,hCoV-19/Bahamas/48025/2021,hCoV-19/DominicanRepublic/49633/2021
Alexandra Popa et al	1	Mutational dynamics and transmission properties of SARS-CoV-2 superspreading events in Austria	unknown	https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1	hCoV-19/Austria/CeMM0146/2020
Ying Tao et al	3	unknown	unknown	unknown	hCoV-19/USA/GA_2742/2020,hCoV-19/USA/RI_0520/2020,hCoV-19/USA/WI-CDC-4065260-001/2021
Emmanouil Athanasiadis et al	8	unknown	unknown	unknown	hCoV-19/Greece/7185/2020,hCoV-19/Greece/255549/2021,hCoV-19/Greece/291615/2021,hCoV-19/Greece/291620/2021,hCoV-19/Greece/284515/2021,hCoV-19/Greece/291672/2021,hCoV-19/Greece/291693/2021,hCoV-19/Greece/289024/2021
Pablo Tsukayama et al	14	unknown	unknown	unknown	hCoV-19/Peru/AMA-UPCH-0255/2020,hCoV-19/Peru/ANC-UPCH-0051/2020,hCoV-19/Peru/LIM-UPCH-0959/2020,hCoV-19/Peru/LIM-UPCH-0904/2021,hCoV-19/Bolivia/SAN-UPCH-1039/2020,hCoV-19/Bolivia/SAN-UPCH-1037/2020,hCoV-19/Bolivia/SAN-UPCH-1049/2020,hCoV-19/Bolivia/SAN-UPCH-1007/2020,hCoV-19/Peru/LIM-UPCH-1188/2021,hCoV-19/Bolivia/SAN-UPCH-1067/2020,hCoV-19/Bolivia/SAN-UPCH-0985/2021,hCoV-19/Bolivia/SAN-UPCH-1022/2020,hCoV-19/Bolivia/SAN-UPCH-1058/2020,hCoV-19/Bolivia/SAN-UPCH-0988/2021
Fatma Bayrakdar et al	18	unknown	unknown	unknown	hCoV-19/Turkey/HSGM-201606/2020,hCoV-19/Turkey/HSGM-2284/2021,hCoV-19/Turkey/HSGM-GF11252/2021,hCoV-19/Turkey/HSGM-B19906/2021,hCoV-19/Turkey/HSGM-FS2647/2021,hCoV-19/Turkey/HSGM-C2946/2021,hCoV-19/Turkey/HSGM-C112/2021,hCoV-19/Turkey/HSGM-C110/2021,hCoV-19/Turkey/HSGM-D6780/2021,hCoV-19/Turkey/HSGM-D14119/2021,hCoV-19/Turkey/HSGM-E2964/2021,hCoV-19/Turkey/HSGM-E9425/2021,hCoV-19/Turkey/HSGM-E4249t/2021,hCoV-19/Turkey/HSGM-C8483/2021,hCoV-19/Turkey/HSGM-E16117/2021,hCoV-19/Turkey/HSGM-E16053/2021,hCoV-19/Turkey/HSGM-E10738/2021,hCoV-19/Turkey/HSGM-E16048/2021
Gabriela Sevillano et al	1	unknown	unknown	unknown	hCoV-19/Ecuador/ZZ-SARS-2/2020
Jan Richter et al	10	unknown	unknown	unknown	hCoV-19/Cyprus/008/2020,hCoV-19/Cyprus/001/2020,hCoV-19/Cyprus/006/2020,hCoV-19/Cyprus/Cy031666/2020,hCoV-19/Cyprus/Cy063912/2020,hCoV-19/Cyprus/Cy145337/2020,hCoV-19/Cyprus/Cy093529/2020,hCoV-19/Cyprus/Cy166620/2021,hCoV-19/Cyprus/Cy145731/2020,hCoV-19/Cyprus/Cy046280/2020
Mili Sheth et al	18	unknown	unknown	unknown	hCoV-19/USA/RI-CDC-2-4195185/2021,hCoV-19/Guam/GU-CDC-2-4651378/2021,hCoV-19/USA/GU-CDC-2-4356431/2021,hCoV-19/USA/SD-CDC-2-4718207/2021,hCoV-19/USA/GU-CDC-2-4918946/2021,hCoV-19/USA/GA-EHC-905W/2020,hCoV-19/USA/MS-CDC-2-4122336/2020,hCoV-19/USA/AL-CDC-2-4611479/2021,hCoV-19/USA/GA-CDC-4211663-001/2021,hCoV-19/USA/GU-CDC-2-4356420/2021,hCoV-19/USA/GA-CDC-4203430-001/2021,hCoV-19/USA/RI-CDC-2-4635091/2021,hCoV-19/NorthernMarianaIslands/MP-CDC-2-4813463/2021,hCoV-19/USA/DC-CDC-2-4751635/2021,hCoV-19/USA/MI-CDC-2-4611870/2021,hCoV-19/NorthernMarianaIslands/MP-CDC-2-4634175/2021,hCoV-19/USA/GU-CDC-2-4919028/2021,hCoV-19/USA/MP-CDC-2-4954437/2021
Lidwina Priliani et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/BA-EIJK-UNWAR-186/2020
Aleksandar J. Dimovski et al	2	unknown	unknown	unknown	hCoV-19/NorthMacedonia/12037/2020,hCoV-19/NorthMacedonia/32095/2021
Vidanovic et al	3	unknown	unknown	unknown	hCoV-19/Serbia/Cuprija-00880404/2020,hCoV-19/Serbia/Kraljevo-ZJZ00012906/2021,hCoV-19/Serbia/ZJZKV0002-29-06/2021
